"","fit","lower","upper"
"2021-06-28",-0.0138303982769092,-0.198577013735683,0.170916217181864
"2021-06-29",0.137986688324441,-0.0467307366408373,0.32270411328972
"2021-06-30",0.104864370522464,-0.0798528049842502,0.289581546029178
"2021-07-01",-0.0346326398442466,-0.219329680044795,0.150064400356302
"2021-07-02",0.101433337994717,-0.0831722572272492,0.286038933216684
"2021-07-03",0.127124167954874,-0.0572642849080617,0.31151262081781
"2021-07-04",0.11697562943384,-0.0672332557907288,0.301184514658409
"2021-07-05",-0.0158571537196779,-0.199982644658305,0.168268337218949
"2021-07-06",0.0816095833410246,-0.102492880346575,0.265712047028624
"2021-07-07",-0.0425916065006974,-0.226693909891452,0.141510696890057
"2021-07-08",0.138951849009745,-0.0451339322668098,0.3230376302863
"2021-07-09",-0.0150449206578786,-0.199056732401255,0.168966891085497
"2021-07-10",0.0519622210325678,-0.131874995743091,0.235799437808227
"2021-07-11",0.0512073296969365,-0.13248273421366,0.234897393607533
"2021-07-12",0.114386413544006,-0.0692355888690496,0.298008415957061
"2021-07-13",0.00367788658346546,-0.179925490627257,0.187281263794188
"2021-07-14",-0.0177313324881714,-0.20133460204699,0.165871937070647
"2021-07-15",0.10805537774758,-0.0755340962249941,0.291644851720154
"2021-07-16",-0.0337415882150362,-0.217270000021596,0.149786823591524
"2021-07-17",0.116200930935615,-0.0671840420368392,0.299585903908069
"2021-07-18",0.0392466920582955,-0.144015493792473,0.222508877909064
"2021-07-19",-0.0077688331031498,-0.190974419454499,0.1754367532482
"2021-07-20",0.0543814385964099,-0.128808774896762,0.237571652089582
"2021-07-21",-0.0627086901003271,-0.24589882863821,0.120481448437556
"2021-07-22",0.121347792067083,-0.061830657213554,0.304526241347719
"2021-07-23",-0.0543989346158286,-0.237526124283951,0.128728255052294
"2021-07-24",0.0747495401708088,-0.108257709253624,0.257756789595241
"2021-07-25",-0.16517192104252,-0.376890122346381,0.0465462802613414
"2021-07-26",-0.139338648164462,-0.351110250376118,0.0724329540471933
"2021-07-27",-0.050148135943053,-0.262155044757819,0.161858772871713
"2021-07-28",0.00859021485299258,-0.203480811893676,0.220661241599661
"2021-07-29",0.00860076323433338,-0.268785912080644,0.285987438549311
"2021-07-30",0.00861138690722179,-0.321407726022935,0.338630499837378
"2021-07-31",0.0086220864090689,-0.366720240215731,0.383964413033869
