"","level.t.t","lower","upper"
"2021-04-02",-0.0494466856091419,-0.0827530474322885,-0.0161403237859953
"2021-04-03",-0.0366672522826668,-0.0699714995398725,-0.00336300502546117
"2021-04-04",-0.039408470076338,-0.0727110762272044,-0.00610586392547169
"2021-04-05",-0.0720464933195571,-0.105348282306289,-0.0387447043328249
"2021-04-06",-0.0320300928984509,-0.0653171388821361,0.00125695308523417
"2021-04-07",-0.00103797387772869,-0.0343236372999473,0.0322476895444899
"2021-04-08",0.0146402273084521,-0.0186452979984012,0.0479257526153054
"2021-04-09",0.0318715614751261,-0.00141272986087536,0.0651558528111276
"2021-04-10",0.0344499992705487,0.00116739120212423,0.0677326073389731
"2021-04-11",0.041958456526745,0.0086771464318877,0.0752397666216023
"2021-04-12",0.0520066985053021,0.0187260285057065,0.0852873685048977
"2021-04-13",0.0422289351810022,0.0089602250325336,0.0754976453294708
"2021-04-14",0.0335008542620615,0.000233252943285724,0.0667684555808372
"2021-04-15",0.031363440069542,-0.00190404384403173,0.0646309239831158
"2021-04-16",0.0289888550190876,-0.00427761432376584,0.0622553243619411
"2021-04-17",0.0149555490526795,-0.0183095454192757,0.0482206435246347
"2021-04-18",0.00531903314132385,-0.027945006726681,0.0385830730093287
"2021-04-19",0.0156170760452032,-0.0176464475829244,0.0488805996733307
"2021-04-20",0.00705455734341986,-0.0261990764765786,0.0403081911634183
"2021-04-21",-0.000357080965899913,-0.0336098074282846,0.0328956454964848
"2021-04-22",-0.00327335465523376,-0.0365259798930808,0.0299792705826133
"2021-04-23",-0.000707712419085051,-0.0339594882412208,0.0325440634030507
"2021-04-24",0.00360191472778094,-0.029648716666439,0.0368525461220009
"2021-04-25",-0.000060136223688255,-0.0333098937239405,0.0331896212765639
"2021-04-26",0.00730891192838536,-0.0259404204657281,0.0405582443224988
"2021-04-27",-0.046305298042084,-0.0795463172455682,-0.0130642788385998
"2021-04-28",-0.0141609255780508,-0.047401188769875,0.0190793376137733
"2021-04-29",0.0106086304355343,-0.0226315447210596,0.0438488055921283
"2021-04-30",0.0292591235959204,-0.00398033028231008,0.062498577474151
"2021-05-01",0.0299811120793928,-0.00325737468689781,0.0632195988456835
"2021-05-02",0.0442697675145323,0.0110320164328886,0.0775075185961759
"2021-05-03",0.06076830692584,0.0275309118039306,0.0940057020477494
"2021-05-04",0.0608332109795104,0.0246546726611882,0.0970117492978327
"2021-05-05",0.0609021087345039,0.0220041803165188,0.099800037152489
"2021-05-06",0.0609752459327942,0.0195360008193624,0.102414491046226
"2021-05-07",0.0610528834374453,0.0172194117983946,0.104886355076496
"2021-05-08",0.0611352981630481,0.0150317686203781,0.107238827705718
"2021-05-09",0.061222784063409,0.0129558426163665,0.109489725510452
"2021-05-10",0.0613156531800139,0.0109781935995721,0.111653112760456
"2021-05-11",0.0614142367550059,0.00908812436957265,0.113740349140439
"2021-05-12",0.0615188864126478,0.00727698159973234,0.115760791225563
"2021-05-13",0.0616299754134823,0.00553767257170405,0.117722278255261
"2021-05-14",0.0617478999856643,0.00386432167148138,0.119631478299847
"2021-05-15",0.0618730807382127,0.00225202037516201,0.121494141101263
"2021-05-16",0.062005964161223,0.000696641548956989,0.123315286773489
"2021-05-17",0.0621470242183921,-0.000805300913689314,0.125099349350474
